Forward analysis for >>[(qe)*(smh(eh)*efh+smfh+sb(he)*g(fh+h)+sch(eh)*ed(g(fh+h)+h)+scd(g(fh+h)+h)+fdwq(eq)*egq+gfwq(eq)*edq+wgfdq+wgdfq+wfgdq+wfdgq+wdgfq+wdfgq+fwgdq+fwdgq+fgwdq+fgdwq+fdwgq+fdgwq+gwdfq+gwfdq+gfdwq+gdfwq+gdw(fq+q)+dwgfq+dwfgq+dfwgq+dgwfq+sw(d(g(fh+h)+h)+h)+sd(g(fh+h)+h)+sg(fh+h)+sfh+dgfwq+dfgwq+gfwdq+sh)(smh(eh)*efh+smfh+sb(he)*g(fh+h)+sch(eh)*ed(g(fh+h)+h)+scd(g(fh+h)+h)+sw(d(g(fh+h)+h)+h)+sd(g(fh+h)+h)+sg(fh+h)+sfh+sh)*]<< : ([_1(((q_1e_1)*)(((s_1(m_1(h_1(((e_2h_2)*)(e_3(f_1h_3))))))+((s_2(m_2(f_2h_4)))+((s_3(b_1(((h_5e_4)*)(g_1((f_3h_6)+h_7)))))+((s_4(c_1(h_8(((e_5h_9)*)(e_6(d_1((g_2((f_4h_10)+h_11))+h_12)))))))+((s_5(c_2(d_2((g_3((f_5h_13)+h_14))+h_15))))+((f_6(d_3(w_1(q_2(((e_7q_3)*)(e_8(g_4q_4)))))))+((g_5(f_7(w_2(q_5(((e_9q_6)*)(e_10(d_4q_7)))))))+((w_3(g_6(f_8(d_5q_8))))+((w_4(g_7(d_6(f_9q_9))))+((w_5(f_10(g_8(d_7q_10))))+((w_6(f_11(d_8(g_9q_11))))+((w_7(d_9(g_10(f_12q_12))))+((w_8(d_10(f_13(g_11q_13))))+((f_14(w_9(g_12(d_11q_14))))+((f_15(w_10(d_12(g_13q_15))))+((f_16(g_14(w_11(d_13q_16))))+((f_17(g_15(d_14(w_12q_17))))+((f_18(d_15(w_13(g_16q_18))))+((f_19(d_16(g_17(w_14q_19))))+((g_18(w_15(d_17(f_20q_20))))+((g_19(w_16(f_21(d_18q_21))))+((g_20(f_22(d_19(w_17q_22))))+((g_21(d_20(f_23(w_18q_23))))+((g_22(d_21(w_19((f_24q_24)+q_25))))+((d_22(w_20(g_23(f_25q_26))))+((d_23(w_21(f_26(g_24q_27))))+((d_24(f_27(w_22(g_25q_28))))+((d_25(g_26(w_23(f_28q_29))))+((s_6(w_24((d_26((g_27((f_29h_16)+h_17))+h_18))+h_19)))+((s_7(d_27((g_28((f_30h_20)+h_21))+h_22)))+((s_8(g_29((f_31h_23)+h_24)))+((s_9(f_32h_25))+((d_28(g_30(f_33(w_25q_30))))+((d_29(f_34(g_31(w_26q_31))))+((g_32(f_35(w_27(d_30q_32))))+(s_10h_26))))))))))))))))))))))))))))))))))))((((s_11(m_3(h_27(((e_11h_28)*)(e_12(f_36h_29))))))+((s_12(m_4(f_37h_30)))+((s_13(b_2(((h_31e_13)*)(g_33((f_38h_32)+h_33)))))+((s_14(c_3(h_34(((e_14h_35)*)(e_15(d_31((g_34((f_39h_36)+h_37))+h_38)))))))+((s_15(c_4(d_32((g_35((f_40h_39)+h_40))+h_41))))+((s_16(w_28((d_33((g_36((f_41h_42)+h_43))+h_44))+h_45)))+((s_17(d_34((g_37((f_42h_46)+h_47))+h_48)))+((s_18(g_38((f_43h_49)+h_50)))+((s_19(f_44h_51))+(s_20h_52))))))))))*)]_1))))

State Table:
IN	ST	[	d	f	g	q	s	w	e	b	c	h	m	]	
	0	1													
[_1	1		2	3	4	5	6	7							
d_22+d_23+d_24+d_25+d_28+d_29	2			8	9			10							
f_6+f_14+f_15+f_16+f_17+f_18+f_19	3		11		12			13							
g_5+g_18+g_19+g_20+g_21+g_22+g_32	4		14	15				16							
q_1	5								17						
s_1+s_2+s_3+s_4+s_5+s_6+s_7+s_8+s_9+s_10	6		20	21	22			25		18	19	23	24		
w_3+w_4+w_5+w_6+w_7+w_8	7		26	27	28										
f_27+f_34	8				29			30							
g_26+g_30	9			31				32							
w_20+w_21	10			33	34										
d_3+d_15+d_16	11				35			36							
g_14+g_15	12		37					38							
w_9+w_10	13		39		40										
d_20+d_21	14			41				42							
f_7+f_22+f_35	15		43					44							
w_15+w_16	16		45	46											
e_1	17		2	3	4	5	6	7							
b_1	18				47							48			
c_1+c_2	19		49									50			
d_27	20				51							52			
f_32	21											53			
g_29	22			54								55			
h_26	23						56							57	
m_1+m_2	24			58								59			
w_24	25		60									61			
d_9+d_10	26			62	63										
f_10+f_11	27		64		65										
g_6+g_7	28		66	67											
g_31	29							68							
w_22	30				69										
f_33	31							70							
w_23	32			71											
f_26	33				72										
g_23	34			73											
g_17	35							74							
w_1+w_13	36				75	76									
d_14	37							77							
w_11	38		78												
d_12	39				79										
g_12	40		80												
f_23	41							81							
w_19	42			82		83									
d_19	43							84							
w_2+w_27	44		85			86									
d_17	45			87											
f_21	46		88												
g_1	47			89								90			
h_5	48								91						
d_2	49				92							93			
h_8	50								94						
g_28	51			95								96			
h_22	52						56							57	
h_25	53						56							57	
f_31	54											97			
h_24	55						56							57	
s_11+s_12+s_13+s_14+s_15+s_16+s_17+s_18+s_19+s_20	56		100	101	102			105		98	99	103	104		
]_1	57														
f_2	58											106			
h_1	59								107						
d_26	60				108							109			
h_19	61						56							57	
f_13	62				110										
g_10	63			111											
d_8	64				112										
g_8	65		113												
d_6	66			114											
f_8	67		115												
w_26	68					116									
g_25	69					117									
w_25	70					118									
f_28	71					119									
g_24	72					120									
f_25	73					121									
w_14	74					122									
g_16	75					123									
q_2	76								124						
w_12	77					125									
d_13	78					126									
g_13	79					127									
d_11	80					128									
w_18	81					129									
f_24	82					130									
q_25	83						56							57	
w_17	84					131									
d_30	85					132									
q_5	86								133						
f_20	87					134									
d_18	88					135									
f_3	89											136			
h_7	90						56							57	
e_4	91				47							48			
g_3	92			137								138			
h_15	93						56							57	
e_5+e_6	94		139									140			
f_30	95											141			
h_21	96						56							57	
h_23	97						56							57	
b_2	98				142							143			
c_3+c_4	99		144									145			
d_34	100				146							147			
f_44	101											148			
g_38	102			149								150			
h_52	103						56							57	
m_3+m_4	104			151								152			
w_28	105		153									154			
h_4	106						56							57	
e_2+e_3	107			155								156			
g_27	108			157								158			
h_18	109						56							57	
g_11	110					159									
f_12	111					160									
g_9	112					161									
d_7	113					162									
f_9	114					163									
d_5	115					164									
q_31	116						56							57	
q_28	117						56							57	
q_30	118						56							57	
q_29	119						56							57	
q_27	120						56							57	
q_26	121						56							57	
q_19	122						56							57	
q_18	123						56							57	
e_7+e_8	124				165	166									
q_17	125						56							57	
q_16	126						56							57	
q_15	127						56							57	
q_14	128						56							57	
q_23	129						56							57	
q_24	130						56							57	
q_22	131						56							57	
q_32	132						56							57	
e_9+e_10	133		167			168									
q_20	134						56							57	
q_21	135						56							57	
h_6	136						56							57	
f_5	137											169			
h_14	138						56							57	
d_1	139				170							171			
h_9	140								94						
